168 (symbol, year) pairs to fetch, 4 workers
[1/168] AAPL 2014: FAILED CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AMZN 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  GOOGL 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  META 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  AVGO 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  JPM 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  WMT 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  COST 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  HD 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  NFLX 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2014: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2015: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2016: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2017: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2018: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2019: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2020: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2022: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2021: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2023: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2024: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2025: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
  SPY 2026: CalledProcessError(1, ['claude', '-p', '--allowedTools', 'mcp__robinhood-trading__get_equity_historicals'])
